ID,Name,Category,Subcategory,Address,Phone,Website,Zip Codes Served,Languages,Hours (Mon),Hours (Tue),Hours (Wed),Hours (Thu),Hours (Fri),Hours (Sat),Hours (Sun),Service Delivery,Cost,Accepted Insurance,Copay,ADA Accessible,Transportation Assistance,Child Friendly,API Endpoint,Income Limit (% FPL),Household Size Min,Age Min,Age Max,Residency Required,Insurance Required,Documentation Required,Max Per Week,Base Utilization (%),Seasonal Notes,Availability Status,Available Slots,Wait Time (Days),Next Available,Simulated Utilization (%)
P011,Salvation Army Food Assistance – Anaheim,food,food_pantry,"8020 Main St, Anaheim, CA 92801",714-622-7365,https://salvation-army-food-assistance.org,all_orange_county,tl; zh; vi; fa; es; en,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,0,Medi-Cal,0,false,false,true,/api/programs/P011/availability,250,1,,,Santa Ana,false,photo_id; proof_of_income; proof_of_address; ssn,406,84,,limited,71,7,2026-04-27,82
P012,SNAP Outreach & Enrollment – Santa Ana,food,snap,"7796 Euclid St, Santa Ana, CA 92704",714-502-2242,https://snap-outreach-enrollment.org,92780; 92886; 92807; 92887; 92841; 92647,en; ko; es; hy; zh; vi; tl; fa,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,0,Medi-Cal,0,true,true,true,/api/programs/P012/availability,130,1,,,California,true,photo_id; proof_of_address,526,48,,open,278,0,immediate,47
P013,Pediatric Nutrition Support Program – Irvine,food,nutrition_support,"2585 Chapman Ave, Irvine, CA 92612",714-987-8078,https://pediatric-nutrition-support-program.org,92656; 92676; 92614,en; vi; tl; zh; fa; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,home-delivered,0,Medi-Cal,0,true,false,true,/api/programs/P013/availability,185,1,,21,California,true,photo_id,337,76,Waitlist common Aug-Sep,open,79,6,2026-04-26,76
P014,Baby Formula Assistance Program – Orange,food,infant_nutrition,"2281 Main St, Orange, CA 92861",714-288-1527,https://baby-formula-assistance-program.org,all_orange_county,en; ko; vi; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,20,Private,5,false,true,true,/api/programs/P014/availability,250,1,,21,Anaheim,false,proof_of_address,284,67,Increased availability summer,open,96,6,2026-04-26,66
P015,Summer Food Service Program – Garden Grove,food,summer_meals,"9422 Brookhurst St, Garden Grove, CA 92844",714-780-6871,https://summer-food-service-program.org,all_orange_county,en; vi; ko; tl; zh; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,telehealth,25,Medi-Cal; CHIP,15,true,false,true,/api/programs/P015/availability,200,1,,17,Orange County,false,proof_of_address,338,70,Waitlist common Aug-Sep,open,103,5,2026-04-25,69
P016,Backpack Buddy Program – Fullerton,food,school_meals,"9712 Bristol St, Fullerton, CA 92832",714-555-2268,https://backpack-buddy-program.org,all_orange_county,en; fa; hy; zh; km; ar; es; vi; tl,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,25,CHIP,5,true,false,true,/api/programs/P016/availability,,1,,21,Orange County,true,proof_of_address,474,62,Holiday surge Dec,open,174,4,2026-04-24,63
P017,Interfaith Food Center – Huntington Beach,food,food_pantry,"2877 Bristol St, Huntington Beach, CA 92647",714-556-9463,https://interfaith-food-center.org,all_orange_county,en; ko; zh; hy; vi; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person; telehealth,0,Private,0,true,false,true,/api/programs/P017/availability,185,1,,21,California,false,photo_id; proof_of_income; proof_of_address; ssn,480,86,,limited,74,4,2026-04-24,84
P018,Korean Community Food Bank – Mission Viejo,food,food_bank,"9323 Katella Ave, Mission Viejo, CA 92694",714-576-1765,https://korean-community-food-bank.org,92705; 92804; 92653; 92618; 92801; 92701; 92831; 92692,en; fa; km; ar; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person,20,Medi-Cal,5,false,false,true,/api/programs/P018/availability,130,1,,17,Orange County,true,photo_id,219,80,,open,54,0,immediate,75
P019,Vietnamese Community Food Pantry – Lake Forest,food,food_pantry,"8360 Oak Ave, Lake Forest, CA 92630",714-478-4698,https://vietnamese-community-food-pantry.org,all_orange_county,en; ar; hy; km; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person; home-delivered,0,Private,0,true,false,true,/api/programs/P019/availability,185,1,,,Irvine,false,proof_of_address,349,71,Limited summer capacity,open,98,0,immediate,72
P020,Islamic Society Food Assistance – Westminster,food,food_pantry,"5294 Brookhurst St, Westminster, CA 92683",714-899-8293,https://islamic-society-food-assistance.org,all_orange_county,hy; fa; tl; en; es; ar; zh; ko; km; vi,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person,0,Medi-Cal; CHIP,0,true,true,true,/api/programs/P020/availability,130,1,,,Santa Ana,false,photo_id; proof_of_address,478,34,Higher demand Nov-Jan,open,302,0,immediate,37
P021,Armenian Relief Food Program – Anaheim,food,food_pantry,"6235 Main St, Anaheim, CA 92808",714-732-5374,https://armenian-relief-food-program.org,all_orange_county,en; ko; vi; km; hy; fa; ar; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P021/availability,130,1,,,Anaheim,false,referral_from_hospital_or_doctor,533,62,Increased availability summer,open,227,0,immediate,57
P022,Cambodian Family Food Support – Santa Ana,food,food_pantry,"4861 Brookhurst St, Santa Ana, CA 92708",714-685-6751,https://cambodian-family-food-support.org,all_orange_county,en; ko; tl; ar; zh; fa; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,hybrid,0,,0,true,false,true,/api/programs/P022/availability,130,1,,,Irvine,false,proof_of_income; proof_of_address,287,40,Limited summer capacity,open,168,0,immediate,41
P023,Farmworker Family Food Program – Irvine,food,food_bank,"800 Brookhurst St, Irvine, CA 92614",714-903-6623,https://farmworker-family-food-program.org,92801; 92648; 92708; 92677; 92692; 92688,ar; tl; fa; vi; hy; en; es; ko; km,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,home-delivered,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P023/availability,,1,,17,California,false,photo_id,193,75,,open,54,5,2026-04-25,72
P024,CHOC Pediatric Nutrition Clinic – Orange,food,nutrition_support,"4767 Elm Blvd, Orange, CA 92865",714-419-7290,https://choc-pediatric-nutrition-clinic.org,all_orange_county,en; km; zh; tl; ko; fa; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,10,Medi-Cal; Medicare,5,true,true,true,/api/programs/P024/availability,,1,,,Orange County,true,photo_id; proof_of_address,482,74,Higher demand Nov-Jan,open,148,3,2026-04-23,69
P025,NICU Family Meal Support – Garden Grove,food,nutrition_support,"2214 Chapman Ave, Garden Grove, CA 92840",714-599-4794,https://nicu-family-meal-support.org,92782; 92867; 92705,en; hy; zh; fa; vi; tl; es; km; ar; ko,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,0,,0,false,false,true,/api/programs/P025/availability,185,1,,17,Orange County,false,proof_of_income; proof_of_address,218,66,Waitlist common Aug-Sep,open,81,5,2026-04-25,62
P026,OCTA Access Paratransit – Anaheim,transportation,paratransit,"2899 Harbor Blvd, Anaheim, CA 92808",714-242-8811,https://octa-access-paratransit.org,all_orange_county,es; en,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,0,Medi-Cal,0,false,false,true,/api/programs/P026/availability,250,1,,17,Orange County,true,photo_id; proof_of_address,69,35,,open,42,0,immediate,38
P027,Medi-Cal Non-Emergency Medical Transport – Santa Ana,transportation,nemt,"3186 Elm Blvd, Santa Ana, CA 92708",714-331-7504,https://medi-cal-non-emergency-medical-transport.org,all_orange_county,en; es; ar; tl; fa; hy; vi,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P027/availability,250,1,,,California,false,photo_id; proof_of_income; proof_of_address; ssn,125,67,Increased availability summer,open,40,4,2026-04-24,68
P028,Ride to Health Program – Irvine,transportation,rideshare_voucher,"6359 Oak Ave, Irvine, CA 92612",714-206-7496,https://ride-to-health-program.org,all_orange_county,en; vi; tl; es; hy,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P028/availability,200,1,,17,Anaheim,true,photo_id; proof_of_income; proof_of_address; ssn,81,67,Higher demand Nov-Jan,open,23,4,2026-04-24,72
P029,Volunteer Driver Network OC – Orange,transportation,volunteer_driver,"6673 Beach Blvd, Orange, CA 92867",714-285-7501,https://volunteer-driver-network-oc.org,92866; 92804; 92806; 92701; 92661; 92861; 92808,en; tl; km; vi; hy; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,home-delivered,0,Private,0,false,false,true,/api/programs/P029/availability,400,1,,17,Irvine,true,photo_id; proof_of_address,136,95,Increased availability summer,full,1,41,2026-05-31,99
P030,Children's Hospital Transport Assistance – Garden Grove,transportation,hospital_transport,"4288 Harbor Blvd, Garden Grove, CA 92840",714-496-5074,https://children-s-hospital-transport-assistance.org,92866; 92861; 92803; 92801; 92612; 92614; 92841,en; zh; ar; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,telehealth,0,Medi-Cal,0,false,true,true,/api/programs/P030/availability,250,1,,21,Santa Ana,false,photo_id; proof_of_income; proof_of_address,57,91,Waitlist common Aug-Sep,limited,5,5,2026-04-25,91
P031,Senior & Disabled Transport Services – Fullerton,transportation,paratransit,"987 Bristol St, Fullerton, CA 92835",714-161-6079,https://senior-disabled-transport-services.org,92676; 92653; 92841; 92692; 92675; 92701,km; zh; en; ko; tl; hy; ar; es; vi; fa,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person,0,Private,0,true,false,true,/api/programs/P031/availability,,1,,21,Irvine,true,photo_id,220,83,,limited,38,5,2026-04-25,83
P032,Lyft Healthcare Voucher Program – Huntington Beach,transportation,rideshare_voucher,"1520 Main St, Huntington Beach, CA 92646",714-243-8363,https://lyft-healthcare-voucher-program.org,all_orange_county,en; vi; es; km; hy; tl; ko,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,home-delivered,10,Medi-Cal; Medicare; Private,15,true,false,true,/api/programs/P032/availability,300,1,,17,California,false,photo_id; proof_of_income; proof_of_address,104,90,Higher demand Nov-Jan,limited,11,8,2026-04-28,89
P033,Uber Health Rides for Families – Mission Viejo,transportation,rideshare_voucher,"3377 Beach Blvd, Mission Viejo, CA 92692",714-312-9508,https://uber-health-rides-for-families.org,all_orange_county,es; en; ko; vi,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,,0,true,true,true,/api/programs/P033/availability,400,1,,17,Irvine,false,referral_from_hospital_or_doctor,126,75,,open,34,0,immediate,73
P034,Community Transit Assistance Program – Lake Forest,transportation,transit_subsidy,"9618 Oak Ave, Lake Forest, CA 92630",714-350-2788,https://community-transit-assistance-program.org,92808; 92648; 92646; 92675; 92804,en; tl; hy; fa; ar; zh; es; vi,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,home-delivered,0,Medi-Cal; CHIP,0,true,true,true,/api/programs/P034/availability,300,1,,17,Anaheim,false,photo_id; proof_of_address,231,93,,limited,17,5,2026-04-25,93
P035,Medical Appointment Shuttle Service – Westminster,transportation,shuttle,"2985 Beach Blvd, Westminster, CA 92683",714-249-6344,https://medical-appointment-shuttle-service.org,all_orange_county,en; km; hy; zh; ar; vi; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person; home-delivered,10,Medi-Cal; CHIP,15,true,false,true,/api/programs/P035/availability,400,1,,21,Santa Ana,true,proof_of_income; proof_of_address,51,73,Holiday surge Dec,open,14,4,2026-04-24,72
P036,CHOC Family Transport Fund – Anaheim,transportation,hospital_transport,"6967 Euclid St, Anaheim, CA 92806",714-420-4784,https://choc-family-transport-fund.org,all_orange_county,en; hy; zh; tl; vi; fa; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,in-person,0,Medi-Cal; Medicare; Private,0,true,false,true,/api/programs/P036/availability,250,1,,17,Santa Ana,false,proof_of_address,178,89,Waitlist common Aug-Sep,limited,21,4,2026-04-24,88
P037,Pediatric Therapy Transport Vouchers – Santa Ana,transportation,rideshare_voucher,"2396 Main St, Santa Ana, CA 92701",714-218-1223,https://pediatric-therapy-transport-vouchers.org,all_orange_county,en; hy; ar; fa; ko; zh; tl; vi; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,home-delivered,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P037/availability,200,1,,,California,false,photo_id; proof_of_address,189,92,Higher demand Nov-Jan,full,7,14,2026-05-04,96
P038,Homeless Family Transport Program – Irvine,transportation,transit_subsidy,"5341 Elm Blvd, Irvine, CA 92612",714-829-3990,https://homeless-family-transport-program.org,92833; 92801; 92865; 92841; 92648; 92694,en; fa; ko; tl; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person,0,,0,true,false,true,/api/programs/P038/availability,400,1,,17,Santa Ana,false,photo_id; proof_of_income; proof_of_address,179,71,,open,50,1,2026-04-21,72
P039,Foster Care Transport Coordination – Orange,transportation,case_managed_transport,"8889 Elm Blvd, Orange, CA 92868",714-725-3898,https://foster-care-transport-coordination.org,92660; 92861; 92706; 92782; 92801; 92683; 92620; 92866,en; es; vi; zh,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,20,Private,0,true,false,true,/api/programs/P039/availability,300,1,,,Orange County,true,proof_of_income; proof_of_address,159,48,,open,77,0,immediate,51
P040,Dialysis & Specialty Care Transport – Garden Grove,transportation,nemt,"3720 Euclid St, Garden Grove, CA 92843",714-239-3471,https://dialysis-specialty-care-transport.org,all_orange_county,tl; en; fa; es; ar; ko; vi; km,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person; telehealth,0,Private,0,true,false,true,/api/programs/P040/availability,250,1,,21,Orange County,false,referral_from_hospital_or_doctor,131,34,Waitlist common Aug-Sep,open,81,0,immediate,38
P041,School-Based Transport Assistance – Fullerton,transportation,transit_subsidy,"5885 Oak Ave, Fullerton, CA 92831",714-968-8718,https://school-based-transport-assistance.org,all_orange_county,en; fa; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person,0,Private,0,false,true,true,/api/programs/P041/availability,300,1,,17,California,true,photo_id; proof_of_income; proof_of_address,159,55,Limited summer capacity,open,72,0,immediate,55
P042,Refugee Family Transport Support – Huntington Beach,transportation,transit_subsidy,"4535 Beach Blvd, Huntington Beach, CA 92648",714-541-4768,https://refugee-family-transport-support.org,92805; 92840; 92869; 92692; 92703; 92618; 92782; 92663,en; ko; zh; km; ar; vi; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,0,CHIP,0,false,false,true,/api/programs/P042/availability,250,1,,21,Irvine,true,photo_id,88,66,Holiday surge Dec,open,30,6,2026-04-26,65
P043,Disability Transport Coordination – Mission Viejo,transportation,paratransit,"3507 Main St, Mission Viejo, CA 92694",714-914-1030,https://disability-transport-coordination.org,92647; 92805; 92706; 92657; 92694; 92708,es; en; fa; ar,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,hybrid,0,Medi-Cal; Medicare,0,false,false,true,/api/programs/P043/availability,200,1,,,Orange County,false,proof_of_address,261,36,Higher demand Nov-Jan,open,165,0,immediate,37
P044,OC Bus Pass Assistance Program – Lake Forest,transportation,transit_subsidy,"4697 Katella Ave, Lake Forest, CA 92688",714-984-7218,https://oc-bus-pass-assistance-program.org,92648; 92803; 92672; 92707; 92692; 92886,ar; en; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person; home-delivered,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P044/availability,300,1,,17,Santa Ana,true,proof_of_income; proof_of_address,69,88,Waitlist common Aug-Sep,limited,8,14,2026-05-04,88
P045,Prenatal & Postpartum Ride Program – Westminster,transportation,rideshare_voucher,"1200 Beach Blvd, Westminster, CA 92683",714-242-4989,https://prenatal-postpartum-ride-program.org,all_orange_county,en; fa; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,20,Private,5,true,true,true,/api/programs/P045/availability,200,1,,17,Orange County,false,photo_id; proof_of_address,278,74,,open,63,4,2026-04-24,77
P046,Farmworker Family Transport – Anaheim,transportation,transit_subsidy,"1804 Elm Blvd, Anaheim, CA 92805",714-337-5127,https://farmworker-family-transport.org,92808; 92802; 92704,en; es; fa; ko; ar; km; zh; tl; hy; vi,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,hybrid,0,Private,0,true,false,true,/api/programs/P046/availability,250,1,,17,Anaheim,true,photo_id; proof_of_income; proof_of_address,159,93,Higher demand Nov-Jan,limited,17,10,2026-04-30,89
P047,Mental Health Appointment Transport – Santa Ana,transportation,nemt,"5017 Harbor Blvd, Santa Ana, CA 92707",714-691-8418,https://mental-health-appointment-transport.org,92841; 92647; 92887; 92630; 92677; 92704,en; vi; fa; zh; km; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person; telehealth,0,Medi-Cal; Medicare,0,true,true,true,/api/programs/P047/availability,400,1,,,California,false,photo_id; proof_of_income; proof_of_address; ssn,177,47,Limited summer capacity,open,85,0,immediate,51
P048,Immigrant Family Transport Network – Irvine,transportation,volunteer_driver,"8912 Beach Blvd, Irvine, CA 92614",714-111-3506,https://immigrant-family-transport-network.org,92618; 92780; 92701; 92832; 92835; 92657,en; ko; zh; vi; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; home-delivered,0,Medi-Cal,0,true,false,true,/api/programs/P048/availability,300,1,,17,Orange County,true,proof_of_address,88,79,Holiday surge Dec,limited,15,16,2026-05-06,82
P049,Telehealth Device Loan Program – Orange,transportation,telehealth_support,"1218 Oak Ave, Orange, CA 92861",714-647-6965,https://telehealth-device-loan-program.org,92612; 92870; 92831; 92648,hy; km; en; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,home-delivered,0,,0,true,false,true,/api/programs/P049/availability,,1,,17,Santa Ana,false,photo_id; proof_of_address,122,78,Limited summer capacity,open,27,3,2026-04-23,78
P050,Hospital Discharge Transport Fund – Garden Grove,transportation,hospital_transport,"7251 Harbor Blvd, Garden Grove, CA 92845",714-899-3004,https://hospital-discharge-transport-fund.org,92660; 92780; 92675,es; en,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,0,CHIP,0,true,false,true,/api/programs/P050/availability,400,1,,21,California,false,photo_id; proof_of_address,71,30,,open,47,0,immediate,33
P051,CHOC Behavioral Health Outpatient – Anaheim,therapy,behavioral_health,"3570 Bristol St, Anaheim, CA 92804",714-123-3385,https://choc-behavioral-health-outpatient.org,all_orange_county,en; km; zh; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,,0,true,false,true,/api/programs/P051/availability,200,1,0,12,Orange County,false,photo_id; proof_of_income; proof_of_address; ssn,20,66,Higher demand Nov-Jan,open,5,4,2026-04-24,70
P052,OC Mental Health Plan – Children's Services – Santa Ana,therapy,mental_health,"4620 Brookhurst St, Santa Ana, CA 92705",714-385-7411,https://oc-mental-health-plan-children-s-services.org,92886; 92672; 92677,en; zh; ko; fa; vi; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,home-delivered,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P052/availability,250,1,0,5,Irvine,false,photo_id; proof_of_income; proof_of_address,83,69,,open,25,1,2026-04-21,70
P053,Early Start Regional Center – Irvine,therapy,early_intervention,"265 Elm Blvd, Irvine, CA 92614",714-574-9927,https://early-start-regional-center.org,92660; 92805; 92683; 92688,zh; en; tl; fa; es; hy,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person; home-delivered,0,Medi-Cal; Medicare,0,false,false,true,/api/programs/P053/availability,400,1,0,21,Orange County,false,referral_from_hospital_or_doctor,87,54,Increased availability summer,open,37,0,immediate,57
P054,Regional Center of Orange County – Therapy – Orange,therapy,developmental_therapy,"9981 Chapman Ave, Orange, CA 92867",714-504-3769,https://regional-center-of-orange-county-therapy.org,all_orange_county,en; zh; km; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,10,Medi-Cal,15,true,false,true,/api/programs/P054/availability,400,1,5,,California,true,proof_of_address,121,84,Increased availability summer,limited,16,11,2026-05-01,86
P055,Pediatric Physical Therapy Clinic – Garden Grove,therapy,physical_therapy,"5121 Chapman Ave, Garden Grove, CA 92845",714-647-8665,https://pediatric-physical-therapy-clinic.org,all_orange_county,en; hy; km; zh; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,0,Medi-Cal; Medicare; Private,0,true,false,true,/api/programs/P055/availability,400,1,0,,Orange County,true,proof_of_income; proof_of_address,54,65,,open,17,2,2026-04-22,68
P056,Occupational Therapy for Kids OC – Fullerton,therapy,occupational_therapy,"7323 Main St, Fullerton, CA 92833",714-974-6163,https://occupational-therapy-for-kids-oc.org,92676; 92886; 92887; 92656; 92688; 92801; 92703,en; vi; fa; ar; zh; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,telehealth,0,,0,true,false,true,/api/programs/P056/availability,400,1,2,12,Santa Ana,false,photo_id; proof_of_address,107,60,,open,37,3,2026-04-23,65
